Time,HeartRate,TempC,BPSys,BPDia,RespRate,Activity,SleepHours,DeepSleepPercent,O2DesatEvents,AFibBurden
0,61.0,37.0,121.0,81.0,12.0,8055.0,7.3,21.3,1.0,6.3
1,64.0,37.1,124.0,81.0,12.0,7840.0,6.8,19.4,2.0,12.5
2,68.0,36.9,125.0,81.0,12.0,7768.0,6.9,18.1,1.0,10.3
3,70.0,37.0,127.0,82.0,13.0,7591.0,6.2,16.5,4.0,17.4
4,70.0,37.0,129.0,82.0,14.0,7436.0,5.8,18.4,6.0,20.9
5,75.0,37.0,130.0,85.0,14.0,7538.0,6.0,15.0,6.0,27.4
6,81.0,37.0,136.0,84.0,13.0,7230.0,5.8,15.1,4.0,28.8
7,85.0,37.0,136.0,85.0,14.0,7032.0,5.5,15.2,4.0,34.8
8,86.0,37.0,137.0,87.0,14.0,6847.0,5.1,16.2,7.0,41.4
9,92.0,37.0,139.0,86.0,14.0,6732.0,4.9,14.4,9.0,42.5
10,98.0,37.0,140.0,89.0,14.0,6487.0,4.7,12.6,7.0,50.4
11,98.0,37.1,144.0,89.0,15.0,6415.0,4.5,12.1,10.0,49.4
12,101.0,37.0,146.0,91.0,15.0,6287.0,4.3,10.5,9.0,56.3
13,106.0,37.0,145.0,91.0,16.0,6074.0,3.8,9.3,10.0,63.1
