Time,HeartRate,TempC,BPSys,BPDia,RespRate,Activity,AFibBurden
0,61.0,37.1,129.0,80.0,12.0,7884.0,5.8
1,59.0,37.1,129.0,84.0,13.0,7766.0,3.3
2,63.0,36.8,135.0,84.0,11.0,7663.0,0.8
3,73.0,36.9,134.0,81.0,13.0,7433.0,5.0
4,63.0,37.1,138.0,84.0,13.0,7076.0,2.1
5,70.0,37.0,149.0,89.0,13.0,7289.0,6.1
6,70.0,37.1,144.0,91.0,13.0,7404.0,7.6
7,75.0,37.1,147.0,87.0,15.0,7435.0,5.1
8,72.0,37.2,150.0,91.0,12.0,7360.0,3.9
9,78.0,37.1,160.0,92.0,14.0,7174.0,6.5
10,81.0,36.9,163.0,93.0,14.0,7108.0,11.0
11,79.0,37.1,157.0,97.0,15.0,7321.0,5.5
12,77.0,37.2,169.0,100.0,15.0,7081.0,10.6
13,90.0,37.3,170.0,99.0,15.0,7066.0,11.2
14,85.0,37.0,177.0,102.0,16.0,6840.0,11.0
15,92.0,37.0,172.0,100.0,16.0,6573.0,14.2
16,90.0,37.1,180.0,107.0,16.0,6747.0,13.6
17,94.0,36.9,189.0,104.0,16.0,6691.0,14.7
18,97.0,37.2,183.0,108.0,16.0,6525.0,17.4
19,101.0,36.9,197.0,109.0,16.0,6557.0,18.4
20,99.0,37.1,194.0,113.0,16.0,6554.0,19.6
21,105.0,37.0,196.0,116.0,17.0,6609.0,21.9
22,104.0,36.9,197.0,115.0,19.0,6684.0,23.2
23,110.0,37.0,205.0,116.0,19.0,6671.0,25.8
24,119.0,37.1,218.0,119.0,17.0,6651.0,26.4
25,115.0,37.0,211.0,127.0,18.0,6561.0,27.4
26,131.0,36.9,219.0,122.0,20.0,6392.0,33.1
27,122.0,36.9,220.0,125.0,17.0,6398.0,31.1
28,125.0,36.9,228.0,130.0,21.0,6201.0,38.3
29,130.0,36.8,231.0,132.0,20.0,6191.0,37.4
