Time,HeartRate,TempC,BPSys,BPDia,RespRate,Activity,SpO2
0,58.0,36.8,120.0,81.0,11.0,5004.0,98.0
1,62.0,36.9,122.0,79.0,12.0,4896.0,95.8
2,64.0,36.7,123.0,80.0,12.0,4820.0,98.0
3,66.0,37.1,120.0,81.0,13.0,4763.0,97.3
4,67.0,37.3,120.0,82.0,13.0,4783.0,97.3
5,68.0,37.1,117.0,82.0,13.0,4600.0,96.3
6,69.0,37.2,128.0,82.0,13.0,4511.0,96.7
7,71.0,37.5,122.0,83.0,14.0,4362.0,97.1
8,74.0,37.6,126.0,84.0,14.0,4287.0,95.5
9,74.0,37.4,124.0,83.0,14.0,3911.0,95.5
10,75.0,37.6,124.0,85.0,14.0,3824.0,96.3
11,76.0,37.6,126.0,85.0,15.0,3676.0,95.2
12,78.0,37.6,127.0,84.0,14.0,3306.0,95.6
13,78.0,37.8,125.0,86.0,15.0,3237.0,95.5
14,79.0,37.9,127.0,85.0,15.0,2902.0,95.9
15,83.0,37.9,130.0,88.0,16.0,2797.0,95.5
16,85.0,38.0,133.0,88.0,16.0,2596.0,95.5
17,83.0,38.2,127.0,88.0,16.0,2558.0,95.3
18,87.0,38.0,136.0,87.0,16.0,2416.0,94.6
19,90.0,38.4,134.0,89.0,16.0,2303.0,95.1
20,89.0,38.2,131.0,90.0,16.0,2152.0,94.9
21,91.0,38.4,133.0,90.0,17.0,2071.0,89.6
22,95.0,38.5,135.0,87.0,17.0,2065.0,94.8
23,95.0,38.3,135.0,90.0,16.0,2022.0,93.6
